Longitude,Latitude,sst,chlorophyll,ssh,salinity,hour_sin,hour_cos
-16.5,23.583336,18.249763,1.1780417,-0.20772058,36.430225,1.0,6.123233995736766e-17
-16.416656,23.583336,18.273588,1.1922278,-0.21305858,36.379826,1.0,6.123233995736766e-17
-16.333328,23.583336,18.399136,1.2064114,-0.2188696,36.30565,1.0,6.123233995736766e-17
-16.25,23.583336,18.524084,1.2205949,-0.22579864,36.293518,1.0,6.123233995736766e-17
-16.5,23.666672,18.214237,0.9620567,-0.20492688,36.471935,1.0,6.123233995736766e-17
-16.416656,23.666672,18.180748,0.9980204,-0.21063498,36.421467,1.0,6.123233995736766e-17
-16.333328,23.666672,18.250149,1.0339775,-0.21674441,36.338963,1.0,6.123233995736766e-17
-16.25,23.666672,18.350657,1.0699346,-0.22414152,36.307224,1.0,6.123233995736766e-17
-16.5,23.75,18.222692,0.7460914,-0.20407884,36.497883,1.0,6.123233995736766e-17
-16.416656,23.75,18.13982,0.8038307,-0.20822632,36.46014,1.0,6.123233995736766e-17
-16.333328,23.75,18.171629,0.8615594,-0.21404675,36.380234,1.0,6.123233995736766e-17
-16.25,23.75,18.22787,0.91928804,-0.22158541,36.336346,1.0,6.123233995736766e-17
-16.5,23.833336,18.221128,0.6846226,-0.20443076,36.46005,1.0,6.123233995736766e-17
-16.416656,23.833336,18.129164,0.72391343,-0.2078794,36.440853,1.0,6.123233995736766e-17
-16.333328,23.833336,18.145596,0.76319706,-0.21323776,36.403984,1.0,6.123233995736766e-17
-16.25,23.833336,18.191301,0.80248076,-0.22013848,36.35963,1.0,6.123233995736766e-17
-16.5,23.916672,18.208675,0.62315375,-0.20352803,36.436108,1.0,6.123233995736766e-17
-16.416656,23.916672,18.110426,0.6439962,-0.20835501,36.42871,1.0,6.123233995736766e-17
-16.333328,23.916672,18.1094,0.66483486,-0.21382076,36.41338,1.0,6.123233995736766e-17
-16.25,23.916672,18.13614,0.6856735,-0.22027154,36.37602,1.0,6.123233995736766e-17
-16.5,24.0,18.265722,0.56169057,-0.20058934,36.4295,1.0,6.123233995736766e-17
-16.416656,24.0,18.113558,0.5640863,-0.20731634,36.42291,1.0,6.123233995736766e-17
-16.333328,24.0,18.12175,0.5664816,-0.21377566,36.42969,1.0,6.123233995736766e-17
-16.25,24.0,18.13072,0.56887686,-0.22000168,36.404507,1.0,6.123233995736766e-17
